,GISMATCH,STATEFIP,State,MIGPLAC,MIGPUMA,PWSTATE,PWPUMA,center,TYPE,CBSA_NAME
679,3601600,36,New York,036,01600,36,01600,POINT (1733599.6896103816 815948.8052747772),Nonmetro,"Gloversville, NY Micro Area"
680,3601700,36,New York,036,01700,36,01700,POINT (1768108.6321467366 800618.2774415325),Metro,"Albany-Schenectady-Troy, NY Metro Area"
681,3601800,36,New York,036,01800,36,01800,POINT (1776080.9469213672 835673.197079614),Metro,"Albany-Schenectady-Troy, NY Metro Area"
682,3601900,36,New York,036,01900,36,01900,POINT (1814322.897461907 799297.7332594106),Metro,"Albany-Schenectady-Troy, NY Metro Area"
683,3602000,36,New York,036,02000,36,02000,POINT (1780424.6563226378 778486.5112796986),Metro,"Albany-Schenectady-Troy, NY Metro Area"
684,3602100,36,New York,036,02100,36,02100,POINT (1796604.117289934 743644.6564753765),Nonmetro,
685,3602200,36,New York,036,02200,36,02200,POINT (1667874.6666831924 713981.4143785825),Nonmetro,
686,3602300,36,New York,036,02300,36,02300,POINT (1584766.2770641732 718050.0065030564),Metro,"Ithaca, NY Metro Area"
687,3602400,36,New York,036,02400,36,02400,POINT (1532011.0402942272 685791.091295005),Nonmetro,"Corning, NY Micro Area"
688,3602500,36,New York,036,02500,36,02500,POINT (1434979.300078676 665699.2742962983),Nonmetro,"Olean, NY Micro Area"
689,3602600,36,New York,036,02600,36,02600,POINT (1356951.6012036845 648675.4059346349),Nonmetro,"Jamestown-Dunkirk-Fredonia, NY Micro Area"
690,3602700,36,New York,036,02700,36,02700,POINT (1758941.0579996991 682616.9673498085),Metro,"Kingston, NY Metro Area"
691,3602800,36,New York,036,02800,36,02800,POINT (1820419.9862598998 691970.6424099403),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
692,3602900,36,New York,036,02900,36,02900,POINT (1784397.8398515764 641784.7945206977),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
693,3603000,36,New York,036,03000,36,03000,POINT (1812584.6823216504 619809.7692214749),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
694,3603100,36,New York,036,03100,36,03100,POINT (1833143.5270165992 636618.7144579993),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
695,3603200,36,New York,036,03200,36,03200,POINT (1859553.2183264336 583573.8720191971),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
696,3603300,36,New York,036,03300,36,03300,POINT (1915017.171438647 612793.550248184),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
697,3603700,36,New York,036,03700,36,03700,POINT (1834049.011983343 590245.2955188185),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
698,3603800,36,New York,036,03800,36,03800,POINT (1827809.5041632517 580109.9493596129),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
699,3603900,36,New York,036,03900,36,03900,POINT (1817694.7582895812 555135.9936370609),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
700,3604000,36,New York,036,04000,36,04000,POINT (1832925.5449744484 566017.6163359132),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
701,3604100,36,New York,036,04100,36,04100,POINT (1841766.0444827387 575378.3762160413),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
702,3700100,37,North Carolina,037,00100,37,00100,POINT (1254816.0808068654 -56276.02046540797),Nonmetro,
703,3700200,37,North Carolina,037,00200,37,00200,POINT (1329629.5686891226 -26591.56626139103),Nonmetro,"North Wilkesboro, NC Micro Area"
704,3700300,37,North Carolina,037,00300,37,00300,POINT (1416870.4309956399 -3676.5279237979694),Metro,"Greensboro-High Point, NC Metro Area"
705,3700400,37,North Carolina,037,00400,37,00400,POINT (1507063.8640403906 7479.109268692062),Metro,"Durham-Chapel Hill, NC Metro Area"
706,3700590,37,North Carolina,037,00590,37,00590,POINT (1612101.9521312786 21042.33707014329),Nonmetro,"Roanoke Rapids, NC Micro Area"
707,3700700,37,North Carolina,037,00700,37,00700,POINT (1732404.878750156 48670.1199376786),Nonmetro,"Elizabeth City, NC Micro Area"
708,3700800,37,North Carolina,037,00800,37,00800,POINT (1731635.492811382 -11329.002298330492),Nonmetro,
709,3700900,37,North Carolina,037,00900,37,00900,POINT (1617440.3279035888 -19275.46106451182),Metro,"Rocky Mount, NC Metro Area"
710,3701000,37,North Carolina,037,01000,37,01000,POINT (1622750.1675307518 -55587.632445200405),Nonmetro,"Wilson, NC Micro Area"
711,3701100,37,North Carolina,037,01100,37,01100,POINT (1576376.4378155696 -75393.01542029352),Metro,"Raleigh, NC Metro Area"
712,3701200,37,North Carolina,037,01200,37,01200,POINT (1545671.0495687567 -50072.88273474544),Metro,"Raleigh, NC Metro Area"
713,3701300,37,North Carolina,037,01300,37,01300,POINT (1520831.596663824 -26640.614056975963),Metro,"Durham-Chapel Hill, NC Metro Area"
714,3701400,37,North Carolina,037,01400,37,01400,POINT (1498867.1609765254 -27730.86616792049),Metro,"Durham-Chapel Hill, NC Metro Area"
715,3701500,37,North Carolina,037,01500,37,01500,POINT (1497237.3119867533 -75729.84480813402),Metro,"Durham-Chapel Hill, NC Metro Area"
716,3701600,37,North Carolina,037,01600,37,01600,POINT (1474694.373524345 -34003.63707523705),Metro,"Burlington, NC Metro Area"
717,3701700,37,North Carolina,037,01700,37,01700,POINT (1439755.845043935 -36057.280126931626),Metro,"Greensboro-High Point, NC Metro Area"
718,3701800,37,North Carolina,037,01800,37,01800,POINT (1397688.3812684547 -37397.16944599613),Metro,"Winston-Salem, NC Metro Area"
719,3701990,37,North Carolina,037,01990,37,01990,POINT (1358472.4945270044 -66211.24911860323),T34,"Charlotte-Concord-Gastonia, NC-SC Metro Area"
720,3702000,37,North Carolina,037,02000,37,02000,POINT (1298952.6523418492 -74704.82174563037),Metro,"Hickory-Lenoir-Morganton, NC Metro Area"
721,3702100,37,North Carolina,037,02100,37,02100,POINT (1262899.210415831 -105535.9817431689),Metro,"Hickory-Lenoir-Morganton, NC Metro Area"
722,3702200,37,North Carolina,037,02200,37,02200,POINT (1205512.8432389142 -126001.73594978619),Metro,"Asheville, NC Metro Area"
723,3702690,37,North Carolina,037,02690,37,02690,POINT (1281843.5444283874 -140912.70880552675),Nonmetro,"Forest City, NC Micro Area"
724,3702800,37,North Carolina,037,02800,37,02800,POINT (1321460.0048227953 -102817.54374310627),Metro,"Hickory-Lenoir-Morganton, NC Metro Area"
725,3703000,37,North Carolina,037,03000,37,03000,POINT (1330899.2449325307 -143063.20562471295),T34,"Charlotte-Concord-Gastonia, NC-SC Metro Area"
726,3703100,37,North Carolina,037,03100,37,03100,POINT (1362689.5028331191 -143413.3162145148),T34,"Charlotte-Concord-Gastonia, NC-SC Metro Area"
