MIGPUMA,ENT,FOD,SRV
3902500,40.0,215.0,301.0
3902600,47.0,244.0,343.0
3902700,42.0,190.0,255.0
3902800,42.0,236.0,345.0
3902900,31.0,207.0,300.0
3903000,39.0,218.0,344.0
3903190,137.9874,826.9217,1048.9017
3903400,28.0,177.0,287.0
3903500,37.0,250.0,382.0
3903600,22.0,183.0,253.0
3903700,36.0,226.0,285.0
3903800,69.0,314.0,327.0
3903900,47.0,262.0,299.0
3904000,87.0,484.0,400.0
3904100,426.95730000000003,2996.7003,2640.7359
3904200,46.0,209.0,284.0
3904300,34.0,214.0,288.0
3904400,26.0,188.0,266.0
3904500,41.0,228.0,352.0
3904600,166.0,1089.0,1190.0
3904700,37.0,350.0,335.0
3904800,27.0,185.0,200.0
3904900,21.0,180.0,184.0
3905000,22.0,231.0,236.0
3905100,22.0,197.0,238.0
3905200,28.0,156.0,212.0
3905300,84.0,384.0,437.0
3905400,103.0,719.0,757.0
3905500,329.967,2009.799,2024.7975
3905690,77.0,360.0,439.0
4000190,99.0,688.0,845.0
4000200,23.0,182.0,147.0
4000300,26.0,279.0,307.0
4000400,30.0,237.0,301.0
4000500,22.0,256.0,397.0
4000600,49.0,394.0,452.0
4000700,72.0,477.0,538.0
4000800,27.0,237.0,250.0
4000900,88.0,595.0,483.0
4001000,278.9442,2139.572,2041.5916
4001100,61.0,404.0,512.0
4001290,326.0,2279.0,2434.0
4001400,45.0,261.0,331.0
4100100,53.0,345.0,341.0
4100200,55.0,342.0,305.0
4100300,40.0,339.0,275.0
4100400,146.0,620.0,531.0
4100500,80.0,778.0,423.0
4100600,74.0,456.0,487.0
4100700,173.0,1017.0,889.0
4100800,62.0,502.0,349.0
4100900,118.0,613.0,456.0
4101000,31.0,270.0,244.0
4101100,130.0,777.0,726.0
4101200,46.0,383.0,372.0
4101325,567.0567,3163.3163,2603.2603
4101326,195.0,881.0,1005.0
4101327,263.0,1310.0,1198.0
4200100,114.0,632.0,770.0
4200200,48.0,247.0,371.0
4200300,56.0,409.0,600.0
4200400,30.0,243.0,310.0
4200500,72.0,358.0,391.0
4200600,65.0,396.0,401.0
4200700,79.0,652.0,627.0
4200800,120.0,931.0,968.0
4200900,49.0,356.0,468.0
4201000,25.0,213.0,315.0
4201100,43.0,301.0,459.0
4201200,83.0,338.0,374.0
4201300,38.0,314.0,483.0
4201400,44.0,269.0,364.0
4201500,70.0,479.0,766.0
4201600,85.0,390.0,577.0
4201700,601.0,3395.0,3879.0
4201900,37.0,265.0,445.0
4202000,160.9839,784.9214999999999,1063.8935999999999
4202100,48.0,290.0,461.0
4202200,61.0,361.0,574.0
4202300,85.0,640.0,893.0
4202400,119.0,690.0,995.0
4202500,47.0,224.0,413.0
4202600,34.0,258.0,393.0
4202700,147.0,772.0,1110.0
4202890,269.0,1610.0,1902.0
4203000,293.9706,1435.8564000000001,1803.8196
4203100,459.0,2033.0,2595.0
4203200,468.0468,4015.4015,3529.3529
4203300,218.02179999999998,1157.1157,1432.1432
4203400,258.9741,1055.8944000000001,1456.8543
4203500,184.0,1120.0,1722.0
4203600,153.0,778.0,1193.0
4203700,97.0,506.0,746.0
4203800,49.0,282.0,495.0
4203900,40.0,269.0,361.0
4204000,98.0,499.0,723.0
4400100,243.0,1702.0,1695.0
4400201,73.0,466.0,487.0
4400300,137.0,524.0,423.0
4400400,139.0,460.0,359.0
4500100,207.98010000000002,1311.8773,1428.8706000000002
4500101,60.0,376.0,469.0
4500200,54.0,386.0,458.0
4500300,74.0,594.0,759.0
4500400,30.0,232.0,404.0
4500500,80.0,448.0,575.0
4500600,142.0,1027.0,1201.0
4500606,91.0,582.0,788.0
4500700,22.0,213.0,337.0
4500800,32.0,284.0,362.0
4500900,45.0,419.0,474.0
4501000,51.0,271.0,314.0
4501100,250.0,1338.0,746.0
4501200,363.0,1986.0,1828.0
4501300,33.0,354.0,412.0
4501400,124.0,641.0,497.0
4501500,59.0,312.0,383.0
4501600,19.0,175.0,224.0
4600100,175.0,697.0,627.0
4600200,58.0,250.0,281.0
4600300,102.0,395.0,495.0
4600400,89.0,386.0,478.0
4600590,242.0,776.0,916.0
4700100,28.0,218.0,335.0
4700200,35.0,236.0,322.0
4700300,43.0,410.0,342.0
4700400,31.0,288.0,332.0
4700500,70.0,269.0,361.0
4700600,17.0,157.0,214.0
4700700,34.0,255.0,244.0
4700800,19.0,160.0,201.0
4700900,23.0,140.0,179.0
4701090,68.0,406.0,466.0
4701200,23.0,251.0,317.0
4701300,44.0,298.0,331.0
4701400,32.0,200.0,247.0
4701500,124.0,648.0,323.0
4701600,201.0,1212.0,1378.0
4701700,30.0,211.0,288.0
4701800,36.0,235.0,313.0
4701900,45.0,315.0,380.0
4702000,142.0,940.0,992.0
4702100,10.0,166.0,168.0
4702200,29.0,239.0,281.0
4702300,45.0,245.0,292.0
4702400,70.0,599.0,522.0
4702500,901.0,2175.0,1984.0
4702600,311.0,547.0,597.0
4702700,33.0,295.0,327.0
4702800,12.0,153.0,188.0
4702900,20.0,203.0,275.0
4703000,30.0,263.0,284.0
4703100,16.0,111.0,190.0
4703200,240.9518,1874.625,1831.6336000000001
4800100,46.0,369.0,567.0
4800200,51.0,376.0,338.0
4800300,35.0,217.0,300.0
4800400,15.0,219.0,335.0
4800500,102.0,712.0,678.0
4800600,27.0,265.0,418.0
4800700,32.0,302.0,335.0
4800800,52.0,356.0,424.0
4800900,65.0,373.0,377.0
4801000,29.0,288.0,401.0
4801100,21.0,258.0,334.0
4801200,21.0,164.0,218.0
4801300,30.0,209.0,262.0
4801400,25.0,208.0,227.0
4801500,60.0,485.0,629.0
4801600,47.0,370.0,392.0
4801700,15.0,160.0,228.0
4801800,34.0,235.0,245.0
4801900,368.0,2258.0,1780.0
4802000,256.0,1620.0,1289.0
4802101,46.0,266.0,342.0
4802102,35.0,280.0,312.0
4802200,55.0,317.0,340.0
4802300,774.845,6029.7938,5048.99
4802400,45.0,217.0,261.0
4802500,552.0,4222.0,3849.0
4802600,38.0,391.0,528.0
4802700,54.0,323.0,347.0
4802800,20.0,260.0,276.0
4802900,40.0,272.0,303.0
4803000,57.0,374.0,431.0
4803100,43.0,296.0,372.0
4803200,14.0,336.0,261.0
4803300,179.0,1642.0,1186.0
4803400,44.0,358.0,419.0
4803500,80.0,628.0,652.0
4803601,37.0,320.0,346.0
4803602,73.0,532.0,408.0
4803700,28.0,258.0,339.0
4803800,75.0,529.0,598.0
4803900,28.0,253.0,282.0
4804000,35.0,267.0,332.0
4804100,14.0,131.0,223.0
4804200,31.0,236.0,265.0
4804300,62.0,515.0,590.0
4804400,16.0,178.0,186.0
4804500,164.0,1015.0,973.0
4804600,1164.2328,9812.9622,8177.6352
4804700,108.0,742.0,640.0
4804800,77.0,638.0,595.0
4804900,193.9806,1277.8722,1073.8926
4805000,55.0,341.0,426.0
4805100,45.0,331.0,360.0
4805200,184.0,1033.0,1073.0
4805300,731.0,3358.0,3102.0
4805400,84.0,481.0,367.0
4805500,20.0,271.0,337.0
4805600,46.0,271.0,265.0
4805700,37.0,207.0,226.0
4805800,80.0,367.0,367.0
4805900,491.0,4109.0,3326.0
4806000,93.0,431.0,411.0
4806100,21.0,262.0,250.0
4806200,32.0,354.0,256.0
4806300,64.0,442.0,292.0
4806400,4.0,149.0,79.0
4806500,30.0,298.0,233.0
4806600,110.0,921.0,734.0
4806700,68.0,742.0,544.0
4806800,98.99010000000001,1162.8837,804.9195
4806900,16.0,203.0,169.0
4903001,39.0,161.0,162.0
4905001,148.0,427.0,376.0
4911000,90.0,501.0,487.0
4913001,70.0,388.0,274.0
